,id,name,symbol,slug,tags,total_supply,cmc_rank,quote.USD.price,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,timestamp
0,1,Bitcoin,BTC,bitcoin,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",19066568.0,1,23168.480582128108,107.3823,-1.41119682,-15.56538005,-26.54909695,-21.57645601,-42.06249084,-41.34564119,441743410475.82513,45.6529,486538092224.69,2022-06-13 21:42:56.821940
1,1027,Ethereum,ETH,ethereum,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",121160446.3115,2,1238.2673112341497,97.7307,-1.82162545,-16.36926188,-33.83179042,-38.46948334,-58.98520005,-52.82328082,150029020082.07065,15.5051,150029020082.07,2022-06-13 21:42:56.821940
2,825,Tether,USDT,tether,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",79710622658.21005,3,0.9986188767387996,88.191,-0.00757137,-0.03435862,-0.07902275,-0.01524631,-0.15566741,-0.16393436,72194134401.72629,7.4611,79600532463.09,2022-06-13 21:42:56.821940
3,3408,USD Coin,USDC,usd-coin,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",54221598913.022804,4,1.0000150073850038,132.5707,-0.02466444,-0.04035292,-0.03190661,-0.01851475,0.01908025,0.04977633,54222412637.43321,5.6006,54222412637.43,2022-06-13 21:42:56.821940
4,1839,BNB,BNB,bnb,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",163276974.63,5,226.16365144834722,83.279,-1.48439283,-13.84057866,-24.13008134,-21.78706335,-45.64247711,-39.18592148,36927316779.75995,3.8163,37343409356.92,2022-06-13 21:42:56.821940
5,4687,Binance USD,BUSD,binance-usd,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",17620018855.699257,6,1.0018683809108586,108.704,0.01173964,0.19607041,0.05289846,0.03881553,0.06823226,0.29736955,17652939762.578213,1.8244,17652939762.58,2022-06-13 21:42:56.821940
6,2010,Cardano,ADA,cardano,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",34277702081.605,7,0.4779427228730123,72.0843,-1.5528721,-7.77652819,-21.9375784,-9.02406877,-48.92986545,-40.45589972,16218531493.073719,1.6761,21507422529.29,2022-06-13 21:42:56.821940
7,52,XRP,XRP,xrp,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",99989535142.0,8,0.31899329657830894,85.9165,-1.96713994,-10.65184646,-20.95018634,-23.7265745,-55.63714402,-58.46855931,15421125217.649822,1.5937,31899329657.83,2022-06-13 21:42:56.821940
8,5426,Solana,SOL,solana,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",511616946.142289,9,28.481573820735047,80.9969,-2.74161234,-11.57308395,-33.64482974,-43.54421756,-71.74978333,-65.92891275,9746644065.757366,1.0073,14571655819.49,2022-06-13 21:42:56.821940
9,74,Dogecoin,DOGE,dogecoin,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",132670764299.89409,10,0.056167352504481974,109.5161,-1.30812028,-15.32501186,-31.74525589,-35.90845757,-60.75162229,-50.26112994,7451765585.471194,0.7697,7451765585.47,2022-06-13 21:42:56.821940
10,6636,Polkadot,DOT,polkadot-new,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",1103303471.382273,11,7.10276409987268,83.7035,-0.5473967,-8.41870876,-25.37242057,-35.74698791,-60.1156414,-60.12664017,7014542904.054038,0.7249,7836504287.8,2022-06-13 21:42:56.821940
11,4943,Dai,DAI,multi-collateral-dai,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",6961392274.638916,12,0.9999133471187737,277.4226,-0.02114118,-0.02385853,-0.02820724,-0.0844912,-0.01160165,0.03087704,6960789049.940971,0.7194,6960789049.94,2022-06-13 21:42:56.821940
12,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",273051.35490986,13,23194.94307216674,119.1207,-1.37054908,-15.46558597,-26.2965591,-21.27480658,-41.97746479,-41.20938727,6333410632.912199,0.6545,6333410632.91,2022-06-13 21:42:56.821940
13,1958,TRON,TRX,tron,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",92533984224.46562,14,0.06438325182392368,151.5251,-1.59062694,-15.94866974,-21.22100024,-10.50857203,7.12452705,6.46893118,5957638637.7531595,0.6157,5957638808.59,2022-06-13 21:42:56.821940
14,3957,UNUS SED LEO,LEO,unus-sed-leo,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",985239504.0,15,5.075826587768943,26.2605,-1.06662188,-7.59909711,0.03586779,1.11260342,-11.78244012,-13.35180596,4842105736.56599,0.5004,5000904869.72,2022-06-13 21:42:56.821940
15,5994,Shiba Inu,SHIB,shiba-inu,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",589735030408322.8,16,8.371047950483934e-06,41.3006,-1.62832292,-7.24656179,-23.71364249,-30.32214922,-67.53396771,-61.57148823,4596235035.323456,0.475,4936700217.63,2022-06-13 21:42:56.821940
16,5805,Avalanche,AVAX,avalanche,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",404229626.49901325,17,16.308729520536524,78.8745,-1.57300059,-11.39265469,-36.93661965,-49.5815501,-78.94407511,-76.84163391,4582412706.830421,0.4736,11742285254.79,2022-06-13 21:42:56.821940
